vraag, antwoord
Met welke naam duiden we een bron aan die spontaan opwelt uit grondwater door de hydrostatische druk op het ondergrondse bekken, Artesisch
Hoe heet het endorheïsch meer in de Australische Simpson-woestijn, Lake Eyre
Welke kreek is de langste rivier die uitmondt in Lake Eyre, Cooper Creek
Wat is met 1500 km de langste zijrivier van de Murray, Murrumbidgee
Welke zijrivier van de Murrumbidgee is de vierde langste river van Australië, Lachlan
Wat is de hoogste berg van Australië buiten Antarctica en is gelegen op welke eilandengroep op het Kerguelen plateau?, Mawson Peak en Heard and McDonald Islands
Tot welke eilandengroep behoort Palau?, de Carolinen
Welk Nederlands pretpark opgebouwd rond tropische tuinen kwam in financieel nauwe schoentjes, Mondo Verde
Wat zijn de hoofdsteden van Saskatchewan en Prince Edward Island, Regina en Charlottetown
Welk Frans overzees gebied ligt nabij mexico, Clipperton
Hoe heet het nationaal park waar voeren deel van uitmaakt, Grenzeloos Bocageland
Hoe heet de grote overstroming van 1421, Sint-Elisabethsvloed
Naar welke Romeinse generaal is de vroege kanaalvorming in de Nederlanden genoemd?, Drusus
Welke slag ging vooraf aan Rorke's drift en welke vrouwelijke schilder vereeuwigde die, Isandlwana en Butler
Welke twee Gentse textielbaronnen hebben elk een straat naar zich vernoemd?, de Hemptinne en Loesbergs
Geef drie namen van beulsfamilies in Frankrijk, Sanson en Meysonnier en Pierrepont
Welk marteltuig werd uitgevonden op last van koning Perilaos, Messingen Stier
Welke veldgenerator werd ingezet als foltertuig in de Algerijnse onafhankelijkheidsoorlog, Gégène
Wat is de bijnaam van de USS Constitution dat het oudste oorlogsschip is ter wereld, Old Ironsides
Welk vijftal werd onterecht veroordeeld wegens valse bekentenissen en racisme bij de politie, Dixmoor 5
Wie was de laatste Habsburgse vorst, Karel II van Spanje
Wie was de moordenaar van martin luther king, James Earl Ray
Wat is de juiste naam voor wat we soms een goedendag noemen dus een bol met punten, Morgenster
Wat was de Duitse naam voor de aanval op de Britten in Duinerken en hoe heette hun reddingsoperatie, Fall Gelb en Operatie Dynamo
Wat is een algemene term voor pars pro toto, Metonymie
Met welke uitspraak beëindigen Britse snobs een gesprek, Anyone for tennis?
Wie speelt Wednesday Addams in originele film en wie is de Nederlandse reus, Christina Ricci en Carl Struycken
Welke Franse film gaat over het leven van Margareta van Valois, La reine Margot
Hoe heten zijn de actrices in de nieuwe Battlestar Galactica, Sackhoff en Helfer
Wie regisseerde Godvergeten, Ibbe Daniëls
Welke filmtrilogie gaat over de jongere zus van Sherlock Holmes, Enola
Van welke Koreaanse trilogie maakt Oldboy deel uit, Vengeance trilogie
Wie maakte met Lieve Blancquaert een documentaire over een mirakel in Lourdes, Nathalie Basteyns
Hoe heet Philomena Cunk echt, Diane Morgan

Hoe heten 1 mei en 1 november in de Ierse kalender, Beltan en Sanhaim
Hoe heetten zowel de halfzus en de vrouw van David, Abigail
Welk veelkoppig monster versloeg Hercules, Hydra van Lerna
Hoe heet het eiland waar Pereus anspoelde en tot welke eilandengroep behoort het, Serifos en de Cycladen
Welke Griekse god personificeert de Westenwind, Zephyros

Welke Amerikaanse werd vals beschuldigd en op internet nagezeten voor een moord op haar flatgenote in Italië, Amanda Knox
Wie ontvoerde Heineken, Willem Holleeder
Welke youtuber werd neergeschoten tijdens een prank en hoe heet zijn kanaal, Tanner Cook en Classified Goons
Hoe heet YouTuber Acid, Nathan Vandergunst
Hoe heette het schip waarmee Commandant Cousteau zijn documentaires maakte, Calypso
Welke overleden kluizenaar en poppenspeler trok in 2023 naar een orthodox klooster in Griekenland om er te sterven, Jozef van den Berg
Hoe heetten de Zweedse en Amerikaanse virologen, Anders Tegnell en Anthony Fauci
Hoe heet de jongere broer van willem-alexander, Prins Constantijn

Wie schreef en wie regisseerde Wil?, Olyslagers en Mielants
Hoe heette de duits-russische schrijfster-psychoanalyst die onder andere Nietzsche het hoofd op hol bracht, Lou Andreas-Salomé

Wie was leerling van Rubens en had een gelijknamige zoon die ook schilder werd?, David Teniers
Deze 44-jarige britse performance artist brak door met Sex Idiot en scoorde met fake it till you make it, Byrony Kimmings

Hoe heet de jaarlijkse avontuurlijke wedstrijd voor auto's op de openbare weg, Gumball 3000
Sinds 2014 heeft de Giro elk jaar een andere winnaar. Wie was de laatste die twee maal won namelijk 2013 en 2016, Vincenzo Nibali
Welke Belg won in 2009 het jongerenklassement in de Giro, Kevin Seeldrayers
Hoe heten de iraanse en indische topscorers aller tijden, Ali Daei en Sunil Chetri
Welke Nederlander won Goud op de 1000m schaatsen in Peking, Thomas Krol

Hoe heet het fenomeen vernoemd naar een nobelprijswinnaar dat zorgt voor blauwe lucht, Rayleighverstrooiing 
Welke stof heeft chemische samenstelling C4H8O2, boterzuur
Welke stof heeft chemische samenstelling  C6H8O7, Citroenzuur

Welke bloem met lange lipbladen heeft een meisjesnaam, Aster




