vraag,antwoord
Waar werden skeletten van Iguanodons gevonden die in het museum voor Natuurwetenschappen tentoon gesteld staan,Bernissart
Hoe noemen we een beschreven Griekse scherf,ostrakon
Hoe heetten de drie locomotieven die als eerste de Belgische spoorwegen bereden,Olifant Stephenson en Pijl
Welke stof met formule C vier H tien zit in vanishing spray,butaan
Wat is een ander woord voor erffactor,allel
Waar werd het skelet van een hond gevonden die in het museum voor Natuurwetenschappen tentoon gesteld staat,Goyet
Waar werd het skelet van een mammoet gevonden die in het museum voor Natuurwetenschappen tentoon gesteld staat,Lier
Hoe heet het onderzoek naar datering via ringen in bomen,dendrochronologie
Hoe heet chinees schrift,hanzi
Hoe heet de mensensoort die naast de homo heidelbergensis leefde in Afrika,Homo Rhodesiensis
Welke wetenschap werd uitgevonden door de Fransman Martel, speleologie
Welke schelpen hadden een monetaire functie, kauri
Hoe heet het hoedachtige deel van een paddenstoel? Het is ook een muts uit griekenland,pileus
Welke Fransman was de geestelijke pionier van flora op de Antillen,Charles Plumier
wat is bijenleer, apidoloie
wat is de wetenschappelijke naam voor de familie van apen,simiiformes
wat is de functie van jodelen,vee roepen
welke wetenschapper toonde dat voortplanting zoekt naar een 1 op 1 verhouding,Fisher
hoe noemen we eenverticale of staande voeg,stootvoeg
wat is een ander woord voor slangenboor,avegaar
wat is een ander woord voor maalbak,Hollander
hoe vertalen wij guy wire,tuidraad
welke duitsers vonden het proces uit om ammoniak te maken op grote schaal,Haber en Bosch
